"Reference","Value","Datasheet","Footprint","Qty","DNP","Beschreibung"
"U22","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1","","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252"
"R1,R4,R5,R6,R9,R10,R62,R72","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8","","Resistor, small symbol"
"R2,R3,R7,R8,R11,R12","100","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","Resistor, small symbol"
"R13,R14,R19,R20","820","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4","","Resistor, small symbol"
"R15,R17,R21,R22","511","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4","","Resistor, small symbol"
"R16,R18,R23,R24","240","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4","","Resistor, small symbol"
"R25,R45,R48,R49,R50,R51,R70,R73,R74,R75,R76,R77,R78","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","13","","Resistor, small symbol"
"R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R46,R47","33","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","21","","Resistor, small symbol"
"R52,R53,R54,R55,R56,R57","0","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","Resistor, small symbol"
"R58,R59,R60,R61,R64,R65,R66,R81","27","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8","","Resistor, small symbol"
"R63","5.6k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","Resistor, small symbol"
"R67,R68","3.3k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","Resistor, small symbol"
"R69,R79,R80","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3","","Resistor, small symbol"
"U1","ZORRO SLOT 100pin","","Z3_Card:AMIGA_ZORRO","1","",""
"U12","Keystone 9202","https://www.keyelco.com/product-pdf.cfm?p=2467","Z3_Card:9202_Keystone","1","",""
"J4,J5","RCJ-014","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-SFU1/DSASFU10006972.pdf","Z3_Card:RCJ014","2","","RCA Phono Connectors RCA Connectors"
"U15","TOTX1950A(F)","https://www.mouser.de/datasheet/2/408/TOTX1950A(F)_datasheet_en_20160418-1759551.pdf","Z3_Card:TOTX1950A(F)","1","",""
